gene_id,gene_name,PT916-MYO,PT886-LEIO,PT967-MYO,PT886-MYO,PT916-LEIO,PT1063-LEIO,PT1063-MYO,PT848-MYO,PT967-LEIO,PT848-LEIO
ENSG00000184163,C1QTNF12,6,21,7,6,9,8,2,9,15,13
ENSG00000260179,ENSG00000260179,10,6,4,4,3,3,2,1,4,8
ENSG00000160087,UBE2J2,306,308,378,230,294,289,363,364,427,339
ENSG00000230415,LINC01786,12,10,13,11,11,13,12,16,8,18
ENSG00000162572,SCNN1D,45,43,71,61,64,71,70,67,40,56
ENSG00000131584,ACAP3,558,764,526,805,608,527,560,702,598,624
ENSG00000278073,MIR6726,0,0,0,0,0,0,0,0,0,0
ENSG00000169972,PUSL1,61,81,56,56,54,46,78,72,97,77
ENSG00000127054,INTS11,726,1099,1049,966,959,836,1053,814,1026,859
ENSG00000283712,MIR6727,0,0,0,0,0,0,0,0,0,0
ENSG00000240731,ENSG00000240731,34,63,36,65,71,48,25,35,41,41
ENSG00000224051,CPTP,115,85,167,123,93,91,228,149,158,134
ENSG00000169962,TAS1R3,5,0,4,7,3,3,7,4,1,10
ENSG00000107404,DVL1,516,437,672,542,395,322,617,458,581,489
ENSG00000284372,MIR6808,0,0,0,0,0,0,0,0,0,0
ENSG00000162576,MXRA8,1024,903,1692,690,689,968,1905,1408,2489,1001
ENSG00000175756,AURKAIP1,176,166,279,113,162,147,271,265,321,205
ENSG00000223663,NDUFB4P8,0,0,0,0,0,0,1,0,0,0
ENSG00000221978,CCNL2,1522,1640,1841,1299,1777,1723,1868,1933,1470,1698
ENSG00000224870,MRPL20-AS1,65,56,87,55,60,58,93,96,102,83
ENSG00000242485,MRPL20,184,187,317,166,169,181,261,293,332,238
ENSG00000264293,RN7SL657P,0,0,0,0,0,0,0,0,0,0
ENSG00000272455,MRPL20-DT,7,17,14,10,19,16,11,9,18,31
ENSG00000235098,ANKRD65,54,83,64,44,75,114,75,64,81,108
ENSG00000225905,ANKRD65-AS1,5,9,3,7,13,6,11,3,6,2
ENSG00000205116,TMEM88B,1,9,0,0,8,3,0,0,2,1
ENSG00000225285,LINC01770,14,43,10,34,50,45,30,16,24,44
ENSG00000179403,VWA1,726,931,706,914,696,562,816,911,1057,1047
ENSG00000215915,ATAD3C,27,14,33,33,32,30,52,42,8,21
ENSG00000160072,ATAD3B,241,321,286,225,339,262,241,306,392,314
ENSG00000284740,ENSG00000284740,4,2,1,0,0,2,2,2,3,1
ENSG00000197785,ATAD3A,71,105,97,59,92,79,78,107,169,129
ENSG00000205090,TMEM240,30,60,43,28,59,59,62,41,71,74
ENSG00000160075,SSU72,533,447,839,380,447,491,832,712,705,592
ENSG00000215014,SSU72-AS1,3,6,2,6,3,5,8,3,4,3
ENSG00000274481,ENSG00000274481,0,0,0,0,0,0,0,0,0,0
ENSG00000228594,FNDC10,9,90,8,13,50,61,22,45,97,65
ENSG00000272106,ENSG00000272106,36,53,99,48,45,58,67,75,77,72
ENSG00000197530,MIB2,398,427,624,417,465,407,581,463,534,501
ENSG00000189409,MMP23B,40,49,23,37,17,27,49,39,28,28
ENSG00000248333,CDK11B,210,178,322,178,183,204,293,214,280,230
ENSG00000272004,ENSG00000272004,1,1,5,0,2,0,0,2,1,3
ENSG00000189339,SLC35E2B,676,677,921,678,909,576,689,860,984,915
ENSG00000269737,ENSG00000269737,1,1,0,4,1,0,2,3,0,0
ENSG00000215914,MMP23A,0,4,2,2,1,1,0,1,1,0
ENSG00000008128,CDK11A,40,31,48,34,30,40,33,51,30,46
ENSG00000268575,ENSG00000268575,124,110,185,96,199,141,111,129,144,136
ENSG00000227775,ENSG00000227775,2,1,3,3,3,3,3,2,3,0
ENSG00000215790,SLC35E2A,67,64,96,47,104,76,133,96,84,97
ENSG00000008130,NADK,415,308,531,379,279,261,504,443,439,363
ENSG00000078369,GNB1,3212,3581,3642,2165,2565,2652,4256,3732,4244,3442
ENSG00000231050,GNB1-DT,0,3,3,4,2,3,2,6,3,4
ENSG00000169885,CALML6,6,6,1,11,1,6,4,3,7,6
ENSG00000178821,TMEM52,3,0,6,4,4,1,4,2,6,0
ENSG00000142609,CFAP74,0,5,3,0,4,2,1,1,2,1
ENSG00000233542,ENSG00000233542,0,0,0,0,0,1,1,1,0,1
ENSG00000187730,GABRD,12,18,10,10,20,14,4,28,24,21
ENSG00000226969,PRKCZ-DT,0,0,0,0,0,0,0,0,0,0
ENSG00000067606,PRKCZ,36,62,56,44,32,137,58,85,239,130
ENSG00000271806,ENSG00000271806,0,1,0,0,0,0,0,1,1,1
ENSG00000182873,PRKCZ-AS1,19,30,34,40,29,58,63,21,63,49
ENSG00000162585,FAAP20,290,311,330,375,290,364,511,406,465,504
ENSG00000234396,ENSG00000234396,6,4,1,7,3,3,4,1,2,2
ENSG00000157933,SKI,2301,1538,3007,1584,1070,1222,3038,2610,1962,2079
ENSG00000116151,MORN1,113,101,140,126,155,184,164,149,171,151
ENSG00000272161,ENSG00000272161,0,1,1,3,1,3,2,1,6,5
ENSG00000269896,ENSG00000269896,9,17,29,14,26,22,30,35,39,31
ENSG00000272420,ENSG00000272420,4,3,4,4,11,3,3,3,4,4
ENSG00000157916,RER1,723,682,900,487,582,525,804,860,847,748
ENSG00000157911,PEX10,139,133,186,95,129,121,194,164,216,158
ENSG00000149527,PLCH2,6,3,8,5,1,3,7,12,5,3
ENSG00000224387,ENSG00000224387,1,0,0,0,0,0,0,0,0,0
ENSG00000229393,ENSG00000229393,0,0,0,0,0,0,0,0,0,0
ENSG00000157881,PANK4,192,176,261,184,199,181,297,221,273,228
ENSG00000197921,HES5,7,10,4,2,7,0,4,7,10,4
ENSG00000272449,ENSG00000272449,4,4,5,4,0,0,3,5,3,1
